name,display_name,emoji,recommend,water_g,nitrogen_g,protein_g,fat_g,carbohydrate_g,energy_kcal,energy_kJ,starch_g,oligosaccharide_g,sugar_g,glucose_g,galactose_g,fructose_g,sucrose_g,maltose_g,lactose_g,alcohol_g,non_starch_polysaccharide_g,fibre_g,saturated_fat_g,n_6_polyunsaturated_fat_g,n_3_polyunsaturated_fat_g,cis_monounsaturated_g,monounsaturated_fat_g,cis_polyunsaturated_fat_g,polyunsaturated_fat_g,branched_chain_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,copper_mg,zinc_mg,chloride_mg,manganese_mg,selenium_ug,iodine_ug,retinol_ug,carotene_ug,retinol_equivalent_ug,vitamin_d_ug,vitamin_e_mg,vitamin_k1_ug,thiamin_mg,riboflavin_mg,niacin_mg,tryptophan_over_60_mg,niacin_equivalent_mg,vitamin_b6_mg,vitamin_b12_ug,folate_ug,pantothenate_mg,biotin_ug,vitamin_c_mg
unit,,,,g,g,g,g,g,kcal,kJ,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,ug,ug,ug,ug,ug,ug,mg,ug,mg,mg,mg,mg,mg,mg,ug,ug,mg,ug,mg
code,,,,WATER,TOTNIT,PROT,FAT,CHO,KCALS,KJ,STAR,OLIGO,TOTSUG,GLUC,GALACT,FRUCT,SUCR,MALT,LACT,ALCO,ENGFIB,AOACFIB,SATFOD,TOTn6PFOD,TOTn3PFOD,MONOFODc,MONOFOD,POLYFODc,POLYFOD,TOTBRFOD,FODTRANS,CHOL,NA,K,CA,MG,P,FE,CU,ZN,CL,MN,SE,I,RET,CAREQU,RETEQU,VITD,VITE,VITK1,THIA,RIBO,NIAC,TRYP60,NIACEQU,VITB6,VITB12,FOLT,PANTO,BIOT,VITC
detail,,,,Water,Total nitrogen,Protein,Fat,Carbohydrate,Energy (kcal),Energy (kJ),Starch,Oligosaccharide,Sugars,Glucose,Galactose,Fructose,Sucrose,Maltose,Lactose,Alcohol,Non-starch polysaccharide,AOAC fibre,Saturated fatty acids,Total n-6 polyunsaturated fatty acids,Total n-3 polyunsaturated fatty acids,cis-Monounsaturated fatty acids,Monounsaturated fatty acids,cis-Polyunsaturated fatty acids,Polyunsaturated fatty acids,Total branched chain,Total Trans fatty acids,Cholesterol,Sodium,Potassium,Calcium,Magnesium,Phosphorus,Iron,Copper,Zinc,Chloride,Manganese,Selenium,Iodine,Retinol,Carotene,Total retinol equivalent,Vitamin D,Vitamin E,Phylloquinone,Thiamin,Riboflavin,Niacin,Tryptophan divided by 60,Niacin equivalent,Vitamin B6,Vitamin B12,Folate,Pantothenate,Biotin,Vitamin C
"Artichoke, globe, boiled, weighed as served",Boiled Globe Artichoke,🥦,TRUE,36.3,0.2,1.2,0.1,1.2,8,34,0,0,0.6,0.3,0,0.2,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,6,140,19,12,17,0.2,0.04,0.2,36,0.1,0,N,0,39,6,0,0.08,0,0,0.01,0.4,0.2,0.6,0.01,0,21,0.15,1.8,0
"Artichoke, globe, raw",Raw Globe Artichoke,🥦,TRUE,85.2,0.45,2.8,0.2,2.7,18,77,0,0,1.3,0.8,0,0.4,0.1,0,0,0,N,0,0.1,0,0,0,0,0,0.1,0,0,0,27,360,41,22,38,0.7,0.09,0.5,N,0.3,0,N,0,90,15,0,0.19,0,0.06,0.05,1.3,0.5,1.8,0.03,0,68,0.34,4.1,2
"Artichoke, Jerusalem, boiled in unsalted water, flesh only",Boiled Jerusalem Artichoke,🥦,TRUE,80.2,0.25,1.6,0.1,10.6,41,207,0,0,1.6,0.1,0,0.2,1.3,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,3,420,30,11,33,0.4,0.12,0.1,58,N,N,N,0,20,3,0,0.2,0,0.1,0,0.9,0.4,1.3,N,0,N,N,N,2
Asafoetida,Asafoetida,🍛,TRUE,16,0.64,4,1.1,N,N,N,N,0,N,N,0,N,N,0,0,0,N,0,N,0,0,0,N,0,N,0,0,0,N,N,690,N,50,22.2,N,N,N,N,N,N,0,4,1,0,N,0,0,0.04,0.3,N,N,N,0,N,N,N,0
"Asparagus, grilled",Grilled Asparagus,🥦,TRUE,90.9,0.56,3.5,0.4,2,25.1,106.3,0,0,2,0.5,0,1.1,0.4,0,0,0,1.7,1.6,0.06,0,0,0,0.12,0,0.18,0,0,0,3,339,27,15,78,0.6,0.14,0.61,85,0.16,11,0,0,232,39,0,1.74,0,0.11,0.17,1.8,0.6,2.4,0.18,0,122,0.38,0.3,10
"Asparagus, raw",Raw Asparagus,🥦,TRUE,91.4,0.47,2.9,0.6,2,25,103,0.1,0,1.9,0.7,0,1.1,0.1,0,0,0,1.7,N,0.1,0,0,0,0.1,0,0.2,0,0,0,1,260,27,13,72,0.7,0.08,0.7,60,0.2,1,0,0,315,53,0,1.16,0,0.16,0.06,1,0.5,1.5,0.09,0,175,0.17,0.4,12
"Asparagus, roasted in rapeseed oil",Roasted Asparagus,🥦,TRUE,89.8,0.56,3.5,1.5,2,35,147,0,0,2,0.5,0,1.1,0.4,0,0,0,1.7,1.6,0.12,0,0,0,0.75,0,0.47,0,0,0,4,342,28,15,79,0.6,0.14,0.6,86,0.16,11,0,0,234,39,0,1.69,0,0.11,0.17,1.8,0.7,2.5,0.18,0,123,0.39,0.3,10
"Asparagus, steamed",Steamed Asparagus,🥦,TRUE,92.4,0.46,2.9,0.4,1.6,21,90,0,0,1.6,0.4,0,0.9,0.3,0,0,0,1.4,1.3,0.05,0,0,0,0.1,0,0.15,0,0,0,3,283,23,12,66,0.5,0.12,0.5,71,0.13,9,0,0,194,32,0,1.45,0,0.09,0.14,1.5,0.5,2,0.15,0,102,0.32,0.3,8
"Aubergine, flesh and skin, boiled in unsalted water",Boiled Aubergine,🍆,TRUE,95.2,0.12,0.7,0.5,1.8,14,59,0.2,0,1.6,0.7,0,0.6,0.3,0,0,0,2,1.8,0.13,0,0,0,0,0,0.25,0,0,0,1,136,8,9,20,0.17,0.03,0.08,9,0.15,0,1,0,33,6,0,0.02,0,0.01,0.01,0.1,0.2,0.3,0.03,0,7,0.04,0.4,1
"Aubergine, flesh and skin, roasted in rapeseed oil",Roasted Aubergine,🍆,TRUE,83.9,0.34,2.1,3.8,5.2,62,260,0.6,0,4.6,2,0,1.7,0.9,0,0,0,5.7,5.1,0.35,0,0,0,1.96,0,1.22,0,0,0,2,389,24,27,57,0.49,0.09,0.2,26,0.43,0,3,0,94,16,0,0.75,0,0.03,0.03,0.3,0.6,0.9,0.09,0,20,0.11,1,3
"Aubergine, fried in corn oil",Fried Aubergine in Corn Oil,🍆,TRUE,59.5,0.19,1.2,31.9,2.8,302,1246,0.2,0,2.6,1.4,0,1.1,0.1,0,0,0,2.3,N,4.1,0,0,0,7.9,0,18.5,0,N,0,2,170,8,8,25,0.5,0.03,0.1,16,0.2,1,1,0,125,21,0,5.5,10.3,0,0,0,0.2,0.2,0.07,0,5,0.07,N,1
"Aubergine, fried in rapeseed oil",Fried Aubergine in Rapeseed Oil,🍆,TRUE,59.5,0.19,1.2,31.9,2.8,302,1262,0.2,0,2.6,1.4,0,1.1,0.1,0,0,0,2.3,N,2.18,0,0,0,16.68,0,9.43,0,0,0,2,170,8,8,25,0.5,0.03,0.1,16,0.2,1,1,0,125,21,0,7.03,0,0,0,0,0.2,0.2,0.07,0,5,0.07,N,1
"Aubergine, raw",Raw Aubergine,🍆,TRUE,92.9,0.14,0.9,0.4,2.2,15,64,0.2,0,2,1.1,0,0.8,0.1,0,0,0,2,N,0.1,0,0,0,0,0,0.2,0,0,0,2,210,10,11,16,0.3,0.01,0.2,14,0.1,1,1,0,70,12,0,0.03,6.1,0.02,0.01,0.1,0.2,0.3,0.08,0,18,0.08,N,4
"Aubergine, stuffed with lentils and vegetables",Lentil-Stuffed Aubergine,🍆,TRUE,85.5,0.34,2,4.6,3.9,64,267,2.1,0.1,1.7,0.8,0,0.7,0.1,0,0,0,1.9,0,0.5,0,0,0,1.6,0,2.2,0,0,0,79,240,12,12,38,0.8,0.11,0.3,31,0.2,7,N,0,125,21,0,1.21,0,0.04,0.03,0.5,0.3,0.8,0.09,0,10,N,N,3
"Aubergine, stuffed with rice",Rice-Stuffed Aubergine,🍚,TRUE,77.3,0.3,1.9,2.1,15.9,86,364,9.8,0,6,3,0,2.7,0.2,0,0,0,2.1,N,0.22,0,0,0,1.01,0,0.7,0,0,0,7,280,21,15,33,0.58,0.06,0.3,53,0.19,3,1,0,143,24,0,0.5,0,0.04,0.01,0.4,0.4,0.8,0.09,0,12,0.12,N,5
"Avocado, Fuerte, flesh only",Fuerte Avocado,🥑,TRUE,73.1,0.34,2.1,19.3,1.9,189,780,0,0,0.5,0.3,0,0.1,0.1,0,0,0,3.4,0,3.5,0,0,0,12.9,0,1.8,0,0,0,9,430,11,25,43,0.4,0.35,0.6,9,0.2,0,2,0,16,3,0,3.2,0,0.12,0.19,1,0.4,1.4,0.34,0,13,1.1,3.6,5
"Avocado, Fuerte, flesh only, weighed with skin and stone",Whole Fuerte Avocado,🥑,TRUE,51.9,0.24,1.5,13.7,1.3,134,553,0,0,0.4,0.2,0,0.1,0.1,0,0,0,2.4,0,2.5,0,0,0,9.2,0,1.3,0,0,0,6,310,8,18,31,0.3,0.25,0.4,6,0.1,0,1,0,11,2,0,2.27,0,0.09,0.13,0.7,0.3,1,0.24,0,9,0.78,2.6,3
"Avocado, Hass, flesh only",Hass Avocado,🥑,TRUE,71.5,0.29,1.8,17.4,1.8,171,703,0,1.4,0.4,0.2,0,0.2,0,0,0,0,3.4,3.1,4.15,0,0,0,9.98,0,2.3,0,0,0,7,583,19,27,57,0.51,0.25,0.6,17,0.28,0,1,0,16,3,0,2.19,0,0.09,0.09,2.1,0.4,2.5,0.3,0,31,1.34,2.4,1
"Avocado, Hass, flesh only, weighed with skin and stone",Whole Hass Avocado,🥑,TRUE,49.3,0.2,1.3,12,1.3,118,486,0,1,0.3,0.1,0,0.1,0,0,0,0,2.3,2.1,2.86,0,0,0,6.89,0,1.59,0,0,0,5,402,13,19,39,0.35,0.17,0.38,12,0.19,0,0,0,11,2,0,1.51,0,0.06,0.06,1.45,0.26,1.8,0.21,0,21.6,0.92,1.6,0.8
"Ayr, raw",Raw Ayr,🍛,TRUE,78.1,2.54,15.9,1.3,0,75,318,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,N,0,N,0,0,N,N,N,380,N,180,0.7,0.06,N,N,N,N,N,0,0,0,0,N,0,N,N,0.5,3,3.5,N,N,N,N,N,0
"Babaco, flesh only",Babaco,🍛,TRUE,93.9,0.18,1.1,0.1,3.1,17,72,0,0,3.1,1.3,0,1.1,0.7,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,2,140,11,6,14,0.4,N,0.1,N,N,N,N,0,175,29,0,N,0,0.03,0.04,0.7,N,N,N,0,N,N,N,26
"Bagels, plain",Plain Bagels,🍞,TRUE,32.1,1.6,10,1.8,57.8,273,1161,51.3,1.7,4.8,0.8,0,1,0,3,0,0,2.4,3,N,0,0,0,N,0,N,0,N,0,400,N,N,N,N,N,N,N,N,N,N,N,0,0,0,0,N,0,N,N,N,N,N,N,0,N,N,N,0
"Baked beans, canned in barbecue sauce",Baked Beans in Barbecue Sauce,🫘,TRUE,71.8,0.85,5.3,0.4,14,77,329,9.2,0,4.8,0.9,0,1.1,2.8,0,0,0,3.8,4.9,N,0,0,0,N,0,N,0,0,0,260,N,N,N,N,N,N,N,471,N,N,N,0,N,N,0,N,0,N,N,N,0.9,N,N,0,N,N,N,0
"Baked beans, canned in tomato sauce",Baked Beans in Tomato Sauce,🫘,TRUE,72.8,0.81,5,0.5,15,81,343,10.2,0,4.8,0.6,0,0.8,3.4,0,0,0,3.8,4.9,0.09,0.13,0.15,0.06,0.06,0.27,0.27,0,0,0,261,272,42,30,88,1.42,0.24,0.6,471,0.33,3,0,0,23,4,0,0.35,0,0.21,0.03,0.7,1,1.7,0.13,0,29,0.11,2.5,0
"Baked beans, canned in tomato sauce, reduced sugar, reduced salt",Reduced Sugar and Salt Baked Beans,🫘,TRUE,72.8,0.81,5,0.5,13.5,75,320,10.2,0,3.3,0.6,0,0.8,1.9,0,0,0,3.8,4.9,0.09,0,0,0,0.06,0,0.27,0,0,0,190,272,42,30,88,1.42,0.24,0.6,340,0.33,3,0,0,23,4,0,0.35,0,0.21,0.03,0.7,1,1.7,0.13,0,29,0.11,2.5,0
"Baking fat and margarine (75-90% fat), hard block",Hard Block Baking Fat,🧈,TRUE,22.2,0,0,76.4,0,688,2827,0,0,0,0,0,0,0,0,0,0,0,0,26.41,9.25,2.96,33.94,34,12.21,12.21,0.05,0.07,15,600,0,1,0,0,0.08,0,0,1220,0,0,0,796,655,905,8.8,12.2,0,0,0,0,0,0,0,0,0,0,0,0
Baking powder,Baking Powder,🍛,TRUE,6.3,0.91,5.2,0,37.8,163,693,37.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11800,49,1130,9,8430,0,0,2.8,29,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Banana bread, homemade",Homemade Banana Bread,🍌,TRUE,27.4,0.75,4.4,12.4,53.9,331,1396,17.4,0,36.3,7.6,0,6.4,19.9,2.2,0,0,1.4,N,3.27,0,0,0,4.42,0,3.85,0,0.02,30.8,171,285,85,26,150,1.1,0.19,0.5,185,0.49,N,N,N,81,N,N,N,0,0.11,0.07,0.6,0.9,1.5,0.17,0.2,11,0.32,4.1,2
"Banana split, homemade",Homemade Banana Split,🍌,TRUE,63.7,0.38,2.3,11.8,23.9,205,858,0.9,0,18.4,4.3,0,2.3,8.7,0.8,2.6,0,0.5,0.6,6.91,0,0,0,3.32,0,0.71,0,0.27,24.4,38,224,48,21,56,0.36,0.06,0.3,102,0.18,1,16,106,77,119,0,0.83,0,0.14,0.16,0.6,0.5,1.1,0.13,0.4,12,0.39,3.8,4
"Bananas, flesh only",Bananas,🍌,TRUE,75,0.18,1.2,0.1,20.3,81,348,2.2,0,18.1,7.9,0,7.5,2.7,0,0,0,0.8,1.4,0.04,0,0,0,0,0,0.04,0,0,0,0,330,6,27,23,0.27,0.1,0.2,109,0.36,0,3,0,26,4,0,0.16,0.06,0.15,0.04,0.7,0.2,0.9,0.31,0,14,0.35,2.5,9
"Bananas, raw, flesh only, weighed with skin",Whole Bananas,🍌,TRUE,47.3,0.11,0.8,0,12.8,51,217,1.4,0,11.4,5,0,4.7,1.7,0,0,0,0.5,0.9,0.03,0,0,0,0,0,0.03,0,0,0,0,208,4,17,14,0.17,0.06,0.1,69,0.23,0,2,0,16,3,0,0.1,0.04,0.09,0.03,0.5,0.2,0.7,0.2,0,9,0.22,1.6,5
"Bannocks, made with beremeal, homemade",Beremeal Bannocks,🍛,TRUE,25.9,1.58,9.3,1.7,56.8,266,1131,53.7,0,3.1,0.1,0,0.1,0.7,0.3,2,0,8.6,1,0.23,0,0,0,0.1,0,0.06,0,0,0.8,111,474,107,59,327,3.65,0.2,2.1,93,1.07,2,N,3,1,3,0,0.63,0,0.19,0.12,3,2.2,5.2,0.27,0,17,0.45,6.5,0
"Bannocks, made with wheat flour, homemade",Wheat Flour Bannocks,🌾,TRUE,25.7,1.47,8.5,1.3,65.5,292,1246,63.1,0,2.4,0,0,0,0.4,0.1,2,0,2.7,3.1,0.46,0,0,0,0.22,0,0.19,0,0,0.8,152,309,134,23,218,1.52,0.12,0.7,155,0.55,3,N,3,1,3,0,0.46,0,0.18,0.09,1.3,1.9,3.2,0.12,0,8,0.35,2.2,0
Barbecue sauce,Barbecue Sauce,🍛,TRUE,61.6,0.16,1,0.1,36.1,140,598,6.2,0,29.9,N,0,N,N,0,0,0,0.5,1.2,0,0,0,0,0,0,0.1,0,N,0,630,240,17,23,27,0.6,0.11,0.2,970,0.1,0,1,0,505,84,0,0.91,0,0.03,0.02,0.4,0.1,0.5,0.04,0,5,0.1,1,3
"Barbecue sauce, homemade",Homemade Barbecue Sauce,🍛,TRUE,48.3,0.43,2.7,21,26.1,300,1251,0.1,0,21.5,1.8,0,2,17.1,0,0.1,0,1.1,1.7,12.45,0,0,0,5.91,0,0.98,0,0.68,50.7,392,277,74,32,39,2.28,0.1,0.5,698,0.3,0,N,228,194,260,0.2,0.77,0,0.1,0.17,0.6,0.7,1.3,0.12,0.1,5,0.1,0.7,2
"Barcelona nuts, Kernel only",Barcelona Nuts,🥜,TRUE,5.7,2.06,10.9,64,5.2,639,2637,1.8,0,3.4,0,0,0,3.4,0,0,0,N,0,N,0,0,0,N,0,N,0,0,0,3,940,170,200,300,3,0.96,N,34,N,N,N,0,0,0,0,N,0,0.11,N,N,3.1,N,N,0,N,N,N,0
"Barcelona nuts, kernel only, weighed with shells",Whole Barcelona Nuts,🥜,TRUE,3.5,1.28,6.8,39.7,3.2,397,1636,1.1,0,2.1,0,0,0,2.1,0,0,0,N,0,N,0,0,0,N,0,N,0,0,0,2,580,110,120,190,1.9,0.59,N,21,N,N,N,0,0,0,0,N,0,0.07,N,N,1.9,N,N,0,N,N,N,0
"Barley water, diluted",Diluted Barley Water,🌾,TRUE,95,0.01,0.1,0,4.7,18,77,0.4,0,4.3,N,0,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,1,0,0,0,1,0,0,0,0,126,21,0,N,0,0,0,0,0,0,0,0,1,0,0,2
"Barley water, undiluted",Barley Water,🌾,TRUE,75.2,0.05,0.3,0,23.7,90,384,2.2,0,21.5,N,0,N,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,5,2,4,0,0,0,3,0,0,0,0,630,105,0,N,0,0,0,0.1,0,0.1,0.01,0,5,0,0,10
"Barley, pearl, boiled",Boiled Pearl Barley,🌾,TRUE,69.6,0.46,2.7,0.6,27.6,120,510,27.6,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,1,92,7,22,71,1,0.14,0.7,41,0.44,0,N,0,0,0,0,0.1,0,0.02,0.01,0.5,0.8,1.3,0.04,0,3,0.1,0,0
"Barley, pearl, raw",Raw Pearl Barley,🌾,TRUE,10.6,1.35,7.9,1.7,83.6,360,1535,83.6,0,0,0,0,0,0,0,0,0,N,0,0,0.7,0.07,0.14,0,0.77,0,0,0,0,3,270,20,65,210,3,0.4,2.1,110,1.3,1,N,0,0,0,0,0.4,0,0.12,0.05,2.5,2.3,4.8,0.22,0,20,0.5,N,0
"Basil, dried, ground",Dried Basil,🥬,TRUE,6.4,2.3,14.4,4,43.2,251,1051,0,0,N,N,0,N,N,0,0,0,N,0,N,0,0,0,N,0,N,0,0,0,34,3430,2110,420,490,42,1.37,5.8,N,3.2,N,N,0,5630,940,0,N,0,0.15,0.32,6.9,3.7,1.6,N,0,0,N,N,0
"Basil, fresh",Fresh Basil,🥬,TRUE,88,0.5,3.1,0.8,5.1,40,169,0,0,N,N,0,N,N,0,0,0,N,N,N,0,0,0,N,0,N,0,0,0,9,300,250,11,37,5.5,N,0.7,N,N,N,N,0,3950,660,0,N,0,0.08,0.31,1.1,N,N,N,0,N,N,N,26
"Bay leaf, dried",Dried Bay Leaf,🥬,TRUE,5.4,1.22,7.6,8.4,48.6,313,1312,0,0,N,N,0,N,N,0,0,0,N,0,2.3,0,0,0,1.6,0,2.3,0,0,0,23,530,830,120,110,43,0.42,3.7,N,8.2,N,N,0,3710,620,0,N,0,0.01,0.42,2,1.9,3.9,N,0,0,N,N,0
"Bean loaf, mixed beans, homemade",Homemade Bean Loaf,🫘,TRUE,64.7,1.11,6.6,7.2,15.1,148,621,10.5,0,3.6,1.1,0,1.2,1.2,0,0,0,4.3,N,0.59,0,0,0,3.6,0,2.38,0,0,0,5,419,42,37,131,1.61,0.2,0.8,N,0.45,5,N,0,154,26,0,1.98,0,0.2,0.08,1.1,1.3,2.4,0.15,0,52,N,N,4
"Beanburger, aduki, fried in rapeseed oil, homemade",Homemade Aduki Bean Burger,🍔,TRUE,54.1,1.31,8.1,7.3,24.1,190,793,21.4,0,2.3,0.7,0,0.5,1,0.1,0,0,4.4,N,N,0,0,0,N,0,N,0,0,30.6,208,438,46,54,175,2.1,0.35,1.7,N,0.98,N,N,11,99,28,0.3,N,15.47,0.22,0.1,0.8,1.6,2.4,N,0.2,N,N,N,4
"Beanburger, butter bean, fried in rapeseed oil, homemade",Homemade Butter Bean Burger,🍔,TRUE,58.9,0.93,5.7,10.6,20.2,194,812,16.2,0.4,3,0.6,0,0.5,1.9,0,0,0,4,N,0.85,0,0,0,5.84,0,3.24,0,0,0,71,303,32,37,115,1.72,0.15,0.8,N,0.76,2,N,0,2073,346,0,N,11.14,0.67,0.23,1.4,1.9,3.3,0.28,2.2,387,N,N,1
"Beanburger, red kidney bean, fried in rapeseed oil",Red Kidney Bean Burger,🍔,TRUE,56.9,1.01,6.2,10.7,21.7,202,846,17.7,1.1,2.6,0.6,0,0.5,1.5,0,0,0,4.8,N,0.85,0,0,0,5.89,0,3.3,0,0,0,71,298,61,39,148,1.98,0.07,0.8,N,0.76,4,N,0,2076,346,0,2.26,11.14,0.33,0.25,1.6,1.2,2.3,0.14,0.3,57,0.2,N,1
"Beanburger, soya, fried in rapeseed oil",Soya Bean Burger,🍔,TRUE,57.5,1.69,10.5,10.7,14.5,193,806,9.9,0.9,3.7,1,0,1,1.8,0,0,0,4.6,N,1.18,0,0,0,4.39,0,3.87,0,0,29.2,201,450,67,55,209,2.55,0.25,0.9,331,0.88,5,N,10,175,40,0.3,2.28,14.74,0.24,0.1,0.8,1.9,2.1,0.19,0.2,39,0.27,17.8,5
"Beans, aduki, whole, dried, boiled in unsalted water",Boiled Aduki Beans,🫘,TRUE,59.4,1.48,9.3,0.2,22.5,123,525,20.8,0,0.5,0,0,0,0.3,0.1,0,0,5.5,0,N,0,0,0,N,0,N,0,0,0,2,570,39,60,180,1.9,0.51,2.3,N,0.8,1,N,0,6,1,0,N,0,0.14,0.08,0.9,1.5,2.4,N,0,N,N,N,0
"Beans, aduki, whole, dried, raw",Raw Aduki Beans,🫘,TRUE,12.7,3.18,19.9,0.5,50.1,272,1158,44.7,0,1,0.1,0,0,0.7,0.2,0,0,11.1,0,N,0,0,0,N,0,N,0,0,0,5,1220,84,130,380,4.2,1.09,5,N,1.7,2,N,0,12,2,0,N,0,0.45,0.22,2.6,3.2,5.8,N,0,N,N,N,0
"Beans, balor, ends trimmed, raw",Raw Balor Beans,🫘,TRUE,88.4,0.44,2.7,0.1,3,23,98,0.6,0,2.4,N,0,N,N,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,1,230,58,37,50,1.2,0.1,0.4,28,0.6,N,N,0,N,N,0,N,0,0.12,0.1,0.5,0.4,0.9,N,0,N,N,N,N
"Beans, blackeye, whole, dried, boiled in unsalted water",Boiled Black-Eyed Beans,🫘,TRUE,66.2,1.41,8.8,0.7,19.9,116,494,18,0.8,1.1,0.1,0,0,0.9,0,0,0,3.5,N,0.2,0,0,0,0.1,0,0.3,0,0,0,5,320,21,45,140,1.9,0.22,1.1,N,0.5,3,N,0,13,2,0,N,0,0.19,0.05,0.5,1.9,2.4,0.1,0,210,0.3,7,0
"Beans, blackeye, whole, dried, raw",Raw Blackeye Beans,🫘,TRUE,10.7,3.76,23.5,1.6,54.1,311,1324,47.5,0,2.9,0.2,0,0.1,2.5,0.1,0,0,8.2,0,0.5,0,0,0,0.1,0,0.7,0,0,0,16,1170,81,140,410,7.6,0.75,3.2,N,1.3,7,N,0,35,6,0,N,0,0.87,0.19,2.1,5,7.1,0.36,0,630,1.5,18.4,1
"Beans, broad, dried, raw",Raw Broad Beans,🫘,TRUE,11,4.17,26.1,2.1,32.5,245,1041,24.4,0,5.9,0.6,0,1.5,3.8,0,0,0,27.6,0,0.3,0,0,0,0.3,0,1.1,0,0,0,11,1090,100,190,590,5.5,0.82,3.1,81,1.6,N,N,0,N,N,0,N,0,0.5,0.26,2.6,4.2,6.8,0.37,0,N,0.97,N,0
"Beans, broad, whole, boiled in unsalted water",Boiled Broad Beans,🫘,TRUE,70.2,1.44,9,1,12.3,91,387,11.2,0,1.1,0,0,0,1.1,0,0,0,5.4,9,0.13,0,0,0,0.13,0,0.5,0,0,0,2,413,35,41,162,1.82,0.42,1.13,24,0.48,0,4,0,97,16,0,0.4,0,0.15,0.14,1.7,1.2,2.9,0.16,0,66,0.96,1.5,2
"Beans, broad, whole, raw",Fresh Broad Beans,🫘,TRUE,80.3,0.92,5.7,1,7.2,59,247,5.4,0,1.3,0.1,0,0.3,0.9,0,0,0,6.1,0,0.1,0,0,0,0.1,0,0.5,0,0,0,1,310,23,24,130,0.9,0.11,0.9,18,0.2,N,4,0,170,28,0,0.46,0,0.04,0.04,3.2,0.9,4.1,0.06,0,145,4.94,2.7,32
"Beans, butter, canned, re-heated, drained",Canned Butter Beans,🫘,TRUE,74,0.95,5.9,0.5,13,77,327,10.9,0,1.1,0,0,0,1.1,0,0,0,4.6,N,0.1,0,0,0,0,0,0.2,0,0,0,0,290,15,27,68,1.5,0.14,0.6,N,0.3,3,N,0,0,0,0,0.33,0,0.05,0.03,0.2,0.9,1.1,0.05,0,12,N,N,0
"Beans, butter, dried, boiled in unsalted water",Boiled Butter Beans,🫘,TRUE,64.9,1.3,8.1,1.1,16.8,105,447,15.4,0,1.4,0,0,0,1.4,0,0,0,5.2,11.2,0.18,0,0,0,0,0,0.55,0,0,0,0,447,31,43,134,1.93,0.25,0.88,11,0.62,3,1,0,0,0,0,0.4,0,0.16,0.05,0.4,1.1,1.5,0.16,0,N,0.42,N,0
"Beans, butter, dried, raw",Raw Butter Beans,🫘,TRUE,11.6,3.06,19.1,1.7,52.9,290,1234,46.2,0,3.6,0,0,0,3.6,0,0,0,16,0,0.4,0,0,0,0.1,0,0.8,0,0,0,40,1700,85,190,320,5.9,0.74,2.8,47,1.7,N,N,0,0,0,0,1.13,0,0.45,0.13,2.5,3.1,5.6,0.51,0,N,1.3,N,0
"Beans, cannellini, canned, re-heated, drained",Canned Cannellini Beans,🫘,TRUE,70,1.21,7.6,1.6,15.9,104,443,15.2,0,0.7,0,0,0,0.7,0,0,0,6.1,6.8,0.27,0,0,0,0.27,0,0.8,0,0,0,7,299,93,33,128,1.9,0.32,0.78,N,0.49,5,1,0,N,N,0,0.27,0,0.04,0.03,1,1.3,2.3,0.06,0,8,1.3,0.2,0
"Beans, chick peas, canned, re-heated, drained",Canned Chickpeas,🫛,TRUE,62.3,1.35,8.4,3,18.3,129,547,17.6,0,0.7,0,0,0,0.7,0,0,0,4.3,7.1,0.29,0,0,0,0.57,0,1.43,0,0,0,1,281,48,44,141,1.9,0.26,1.13,13,1.38,29.9,1,0,23,4,0,1.7,0,0.14,0.03,0.7,1.3,2,0.38,0,35,0.37,1.3,0
"Beans, chick peas, Kabuli, split, dried, boiled in unsalted water",Boiled Split Kabuli Chickpeas,🫛,TRUE,67.3,1.23,7.7,2,17.4,114,484,15.9,0,1,0,0,0.1,0.9,0,0,0,N,0,0.2,0,0,0,0.4,0,1,0,0,0,5,270,12,31,80,2.1,0.28,1.2,7,0.7,1,N,0,20,3,0,1.07,0,0.1,0.07,0.7,1.1,1.8,0.14,0,54,0.29,N,0
